#tileset
tileset2.bmp
8 32
tile0: mur
tile1: mur
tile2: ciel
tile3: ciel
tile4: mur
tile5: mur
tile6: mur
tile7: mur
tile8: mur
tile9: mur
tile10: mur
tile11: mur
tile12: mur
tile13: mur
tile14: mur
tile15: mur
tile16: mur
tile17: mur
tile18: mur
tile19: mur
tile20: mur
tile21: mur
tile22: mur
tile23: mur
tile24: mur
tile25: mur
tile26: mur
tile27: mur
tile28: mur
tile29: mur
tile30: mur
tile31: mur
tile32: mur
tile33: mur
tile34: mur
tile35: mur
tile36: mur
tile37: mur
tile38: mur
tile39: mur
tile40: mur
tile41: mur
tile42: mur
tile43: mur
tile44: mur
tile45: mur
tile46: mur
tile47: mur
tile48: mur
tile49: mur
tile50: mur
tile51: mur
tile52: mur
tile53: mur
tile54: mur
tile55: mur
tile56: mur
tile57: mur
tile58: mur
tile59: mur
tile60: mur
tile61: mur
tile62: mur
tile63: mur
tile64: mur
tile65: mur
tile66: mur
tile67: mur
tile68: mur
tile69: mur
tile70: mur
tile71: mur
tile72: mur
tile73: mur
tile74: mur
tile75: ciel
tile76: mur
tile77: mur
tile78: mur
tile79: mur
tile80: mur
tile81: mur
tile82: mur
tile83: mur
tile84: mur
tile85: mur
tile86: mur
tile87: mur
tile88: mur
tile89: mur
tile90: mur
tile91: mur
tile92: ciel
tile93: mur
tile94: mur
tile95: mur
tile96: mur
tile97: mur
tile98: mur
tile99: mur
tile100: mur
tile101: mur
tile102: mur
tile103: mur
tile104: mur
tile105: mur
tile106: mur
tile107: mur
tile108: mur
tile109: mur
tile110: mur
tile111: mur
tile112: mur
tile113: mur
tile114: mur
tile115: mur
tile116: mur
tile117: mur
tile118: mur
tile119: mur
tile120: mur
tile121: mur
tile122: mur
tile123: mur
tile124: mur
tile125: mur
tile126: ciel
tile127: mur
tile128: mur
tile129: mur
tile130: mur
tile131: mur
tile132: mur
tile133: mur
tile134: mur
tile135: mur
tile136: mur
tile137: mur
tile138: mur
tile139: mur
tile140: mur
tile141: mur
tile142: mur
tile143: mur
tile144: mur
tile145: mur
tile146: mur
tile147: mur
tile148: mur
tile149: mur
tile150: mur
tile151: mur
tile152: mur
tile153: mur
tile154: mur
tile155: mur
tile156: mur
tile157: mur
tile158: mur
tile159: mur
tile160: mur
tile161: mur
tile162: mur
tile163: mur
tile164: mur
tile165: mur
tile166: mur
tile167: mur
tile168: mur
tile169: mur
tile170: mur
tile171: mur
tile172: mur
tile173: mur
tile174: mur
tile175: mur
tile176: mur
tile177: mur
tile178: mur
tile179: mur
tile180: mur
tile181: mur
tile182: mur
tile183: mur
tile184: mur
tile185: mur
tile186: mur
tile187: mur
tile188: mur
tile189: mur
tile190: mur
tile191: mur
tile192: mur
tile193: mur
tile194: mur
tile195: mur
tile196: mur
tile197: mur
tile198: mur
tile199: mur
tile200: mur
tile201: mur
tile202: mur
tile203: mur
tile204: mur
tile205: mur
tile206: mur
tile207: mur
tile208: mur
tile209: mur
tile210: mur
tile211: mur
tile212: mur
tile213: mur
tile214: mur
tile215: mur
tile216: mur
tile217: mur
tile218: mur
tile219: mur
tile220: mur
tile221: mur
tile222: mur
tile223: mur
tile224: mur
tile225: mur
tile226: mur
tile227: mur
tile228: mur
tile229: mur
tile230: mur
tile231: mur
tile232: mur
tile233: mur
tile234: mur
tile235: mur
tile236: mur
tile237: mur
tile238: mur
tile239: mur
tile240: mur
tile241: mur
tile242: mur
tile243: mur
tile244: mur
tile245: mur
tile246: mur
tile247: mur
tile248: mur
tile249: mur
tile250: mur
tile251: mur
tile252: mur
tile253: mur
tile254: mur
tile255: mur
#level
50 50
37 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	80 	81 	82 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	55 	46 	38 	
33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	36 	33 	33 	33 	33 	33 	33 	33 	33 	33 	88 	89 	90 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	33 	47 	
50 	34 	34 	34 	34 	34 	35 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	96 	97 	98 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	34 	51 	47 	
